iter	Passed	Remaining
134	10457	67008
135	10536	66935
136	10609	66832
137	10674	66675
138	10746	66567
139	10814	66433
140	10883	66302
141	10957	66205
142	11044	66191
143	11126	66142
144	11191	65994
145	11267	65909
146	11361	65928
147	11450	65918
148	11532	65864
149	11641	65966
150	11775	66205
151	11846	66090
152	11916	65971
153	11989	65862
154	12072	65816
155	12148	65723
156	12220	65617
157	12327	65692
158	12397	65575
159	12462	65427
160	12533	65316
161	12611	65235
162	12681	65119
163	12757	65033
164	12833	64942
165	12899	64805
166	12972	64707
167	13035	64554
168	13104	64436
169	13185	64377
170	13264	64303
171	13344	64238
172	13414	64125
173	13487	64028
174	13569	63971
175	13646	63889
176	13729	63839
177	13797	63715
178	13864	63591
179	13929	63458
180	14000	63352
181	14079	63282
182	14147	63162
183	14228	63102
184	14303	63011
185	14385	62956
186	14457	62854
187	14515	62695
188	14582	62575
189	14647	62445
190	14711	191	14191	14768	192	14192	14842	193	14193	14912	194	14194	14989	195	14195	15084	61878
196	15161	61798
197	15227	61679
198	15302	61595
199	15390	61562
200	15463	61469
201	15538	61383
202	15611	61293
203	15688	61216
204	15768	61151
205	15842	61063
206	15909	60947
207	15984	60862
208	16057	60773
209	16145	60736
210	16219	60651
211	16282	60521
212	16349	60407
213	16420	60310
214	16495	60227
215	16558	60102
216	16640	60045
217	16761	60127
218	16818	59979
219	16893	59895
220	16982	59859
221	17058	59782
222	17138	59716
223	17209	59618
224	17275	59504
225	17345	59406
226	17408	59281
227	17474	59168
228	17548	59083
229	17630	59024
230	17715	58973
231	17773	58835
232	17840	58728
233	17918	58655
234	18000	58598
235	18076	58518
236	18151	58437
237	18217	58327
238	18291	58241
239	18353	58120
240	18419	58008
241	18485	57901
242	18564	57833
243	18634	57737
244	18714	57671
245	18781	57565
246	18844	57450
247	18915	57356
248	18983	57255
249	19059	57178
250	19132	57093
251	19198	569825252	19273	569025253	19338	567925254	19405	566925255	19475	565925256	19551	565225257	19622	564325258	19697	563525259	19766	562525260	19837	561626261	19906	560726262	19976	559726263	2263	2062826264	2264	2069026265	2265	2077026266	2266	2083726267	2267	2090326268	20403	5544268	21078	57280
269	21155	57198
27271	20620	551927272	2272	2126927273	2273	2134427274	2274	21415274	21513	56717
275	21599	56659
276	21681	56590
277	21757	56506
278	21826	56404
279	21905	56329
280	21971	56219
281	220282	22000282	22115	56031
283	22199	55966
284	22271	55874
285	22351	55800
286	224287	22404287	225288	22490288	225289	22559289	226290	22638290	227291	22707291	227292	22802292	228293	22888293	229294	22960294	230295	23037295	230296	23109296	231297	23181297	232298	23275298	233299	23352	54489
300	23424300	234301	23495301	235302	23565302	236303	23630303	236304	23713304	237305	23788305	238306	23858306	239307	23926307	240308	23999308	240309	24062309	241310	24132310	242311	24201311	243312	24276312	24395	53545
313	24470	53460
314	24545	53375
315	24615	53281
316	24693	53203
317	24770	53123
318	24839	53028
319	24914	52943
320	24986	52852
321	250322	25020322	25149	52712
323	25204	52586
324	252325	25239325	25350	52410
326	25423	52323
327	254328	25453328	255329	25525329	256330	25595330	25733	52010
331	258332	25771332	258333	25850333	25964	51773
334	26036	51684
335	26108	51595
336	26185	51516
337	26275	51461
338	26351	51381
339	26436	51317
340	26508	51229
341	26586	51151
342	26657	51061
343	267344	26686344	26808	50897
345	26903	50852
346	26978	50769
347	27046	50672
348	27140	50626
349	27225	50561
350	27305	50488
351	27389	50421
352	27461	50333
353	27538	50254
354	27612	50168
355	27676	50067
356	27787	50048
357	27869	49977
358	27950	49906
359	28040	49850
360	28103	49746
361	28176	49658
362	28248	49570
363	28322	49486
364	284365	28362365	284366	28455366	285367	28534367	28643	49192
368	28721	49115
369	28805	49046
370	28881	48966
371	28971	48908
372	29052	48836
373	29124	48748
374	29214	48691
375	29290	48609
376	29366	48528
377	29452	48464
378	29542	48406
379	29624	48335
380	29700	48254
381	29777	48173
382	29853	48092
383	29926	48006
384	29999	47921
385	300386	30042386	301387	30123387	302388	30187388	302389	30268389	303390	30343390	304391	30420391	304392	30489392	305393	30565393	306394	30642394	307395	30705395	308396	30781396	308397	30855397	309398	30926398	31044	46761
399	311400	31082400	311401	31157401	312402	31238402	313403	31323403	314404	31401404	314405	31478405	315406	31552406	316407	31617407	31740	46054
